event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
339,18.0,Cameroon,home, 32' ,Yellow card, Collins Fai ,
340,18.0,Brazil,away, 54' ,Substitution, Marquinhos , Alex Telles 
341,18.0,Brazil,away, 55' ,Substitution, Éverton Ribeiro , Rodrygo 
342,18.0,Brazil,away, 55' ,Substitution, Bruno Guimarães , Fred 
343,18.0,Cameroon,home, 64' ,Substitution, Karl Toko Ekambi , Bryan Mbeumo 
344,18.0,Brazil,away, 64' ,Substitution, Pedro , Gabriel Jesus 
345,18.0,Cameroon,home, 68' ,Substitution, Olivier Ntcham , Pierre Kunde 
346,18.0,Brazil,away, 79' ,Substitution, Raphinha , Antony 
347,18.0,Cameroon,home, 81' ,Yellow card, Vincent Aboubakar ,
348,18.0,Brazil,away, 85' ,Yellow card, Bruno Guimarães ,
349,18.0,Cameroon,home, 86' ,Substitution, Jerome Ngom Mbekeli , Moumi Ngamaleu 
350,18.0,Cameroon,home, 92' ,Goal, Vincent Aboubakar , Jerome Ngom Mbekeli 
351,18.0,Cameroon,home, 93' ,Second yellow card, Vincent Aboubakar ,
352,19.0,Uruguay,away, 19' ,Yellow card, Darwin Núñez ,
353,19.0,Ghana,home, 21' ,Missed penalty, André Ayew , Missed penalty 
354,19.0,Uruguay,away, 26' ,Goal, Giorgian de Arrascaeta ,
355,19.0,Uruguay,away, 32' ,Goal, Giorgian de Arrascaeta , Luis Suárez 
356,19.0,Uruguay,away, 34' ,Substitution, Matías Vecino , Rodrigo Bentancur 
357,19.0,Ghana,home, 45' ,Substitution, Kamaldeen Sulemana , Jordan Ayew 
358,19.0,Ghana,home, 45' ,Substitution, Osman Bukari , André Ayew 
359,19.0,Uruguay,away, 60' ,Yellow card, Luis Suárez ,
360,19.0,Uruguay,away, 66' ,Substitution, Nicolás de la Cruz , Facundo Pellistri 
361,19.0,Uruguay,away, 66' ,Substitution, Edinson Cavani , Luis Suárez 
362,19.0,Ghana,home, 72' ,Substitution, Antoine Semenyo , Iñaki Williams 
363,19.0,Ghana,home, 72' ,Substitution, Daniel-Kofi Kyereh , Salis Abdul Samed 
364,19.0,Uruguay,away, 80' ,Substitution, Maxi Gómez , Darwin Núñez 
365,19.0,Uruguay,away, 80' ,Substitution, Agustín Canobbio , Giorgian de Arrascaeta 
366,19.0,Ghana,home, 86' ,Yellow card, Kamaldeen Sulemana ,
367,19.0,Uruguay,away, 87' ,Yellow card, Sebastián Coates ,
368,19.0,Ghana,home, 98' ,Substitution, Abdul Fatawu Issahaku , Mohammed Kudus 
369,19.0,Ghana,home, 99' ,Yellow card, Alidu Seidu ,
370,19.0,Uruguay,away, 100' ,Yellow card, Edinson Cavani ,
371,19.0,Uruguay,away, 100' ,Yellow card, José Giménez ,
372,20.0,Portugal,away, 5' ,Goal, Ricardo Horta , Diogo Dalot 
373,20.0,South Korea,home, 27' ,Goal, Kim Young-gwon ,
374,20.0,South Korea,home, 36' ,Yellow card, Lee Kang-in ,
375,20.0,Portugal,away, 65' ,Substitution, João Palhinha , Matheus Nunes 
376,20.0,Portugal,away, 65' ,Substitution, Rafael Leão , Rúben Neves 
377,20.0,Portugal,away, 65' ,Substitution, André Silva , Cristiano Ronaldo 
378,20.0,South Korea,home, 66' ,Substitution, Hwang Hee-chan , Lee Jae-sung 
379,20.0,South Korea,home, 81' ,Substitution, Son Jun-ho , Kim Young-gwon 
380,20.0,South Korea,home, 81' ,Substitution, Hwang Ui-jo , Lee Kang-in 
381,20.0,Portugal,away, 81' ,Substitution, Bernardo Silva , Vitinha 
382,20.0,Portugal,away, 82' ,Substitution, William Carvalho , João Mário 
383,20.0,South Korea,home, 91' ,Goal, Hwang Hee-chan , Son Heung-min 
384,20.0,South Korea,home, 92' ,Yellow card, Hwang Hee-chan ,
385,20.0,South Korea,home, 93' ,Substitution, Cho Yu-min , Cho Gue-sung 
386,21.0,Spain,away, 11' ,Goal, Álvaro Morata , César Azpilicueta 
387,21.0,Japan,home, 39' ,Yellow card, Ko Itakura ,
388,21.0,Japan,home, 44' ,Yellow card, Shogo Taniguchi ,
389,21.0,Japan,home, 45' ,Yellow card, Maya Yoshida ,
390,21.0,Japan,home, 45' ,Substitution, Ritsu Dōan , Takefusa Kubo 
