listing.garden;listing.suites;listing.bathtub;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.address.neighborhood;listing.totalAreas;listing.pricingInfo.rentalPrice;listing.hottub;listing.sportcourt;listing.soundproofing;listing.furnished;listing.unitsOnTheFloor;listing.unitFloor;listing.bedrooms;listing.address.zone;listing.parkingSpaces;listing.bathrooms;listing.tenniscourt;listing.pool;listing.partyhall;listing.guestpark;listing.barbgrill;listing.playground;listing.usableAreas;listing.backyard;listing.fireplace;listing.gym;listing.floors;imvl_type;listing.mountainview;listing.sauna;listing.imvl_month;listing.imvl_year;listing.imvl_season
False;0.0;False;0.0;522.0;Pechincha;50.0;1.058;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;False;True;False;True;True;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;669.0;618.0;Vila Isabel;60.0;1.1;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;2;False;False;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;450.0;Centro;40.0;1.0;False;False;False;False;0.0;10.0;1;Zona Central;0.0;1;False;False;False;False;False;True;40.0;False;False;False;8.0;apartamentos;False;False;1;2023;Verão
False;0.0;False;0.0;450.0;Rio Comprido;49.0;1.15;False;False;False;False;0.0;0.0;1;Zona Central;0.0;1;False;False;False;False;False;False;49.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;35.0;470.0;Santa Teresa;40.0;1.48;False;False;False;True;0.0;0.0;1;Zona Central;0.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;99.0;858.0;Rio Comprido;64.0;1.4;False;False;False;False;3.0;2.0;1;Zona Central;1.0;2;False;False;False;False;False;True;64.0;False;False;False;5.0;apartamentos;False;False;2;2023;Verão
False;1.0;False;90.0;200.0;Recreio Dos Bandeirantes;50.0;2.1;False;False;False;False;0.0;0.0;1;Zona Oeste;0.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;1.2;880.0;Botafogo;51.0;1.9;False;False;False;False;8.0;9.0;1;Zona Sul;0.0;2;False;False;False;False;False;False;51.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;400.0;Vila da Penha;35.0;1.2;False;False;False;True;0.0;4.0;1;Zona Norte;0.0;1;False;False;False;False;False;False;35.0;False;False;False;4.0;apartamentos;False;False;5;2023;Outono
True;0.0;False;630.0;610.0;Grajaú;38.0;1.7;False;False;False;False;6.0;8.0;1;Zona Norte;0.0;1;False;False;False;False;False;True;38.0;False;False;False;8.0;apartamentos;True;False;5;2023;Outono
True;0.0;False;0.0;600.0;Tanque;59.0;1.0;False;False;False;False;0.0;6.0;1;Zona Oeste;1.0;2;False;False;True;False;True;True;59.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;57.0;750.0;Jacarepaguá;46.0;1.997;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;False;False;False;False;46.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;0.0;599.0;Catete;20.0;1.2;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;20.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;230.0;990.0;Ipanema;50.0;4.6;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;4;2023;Outono
False;0.0;False;0.0;507.0;Tijuca;30.0;1.4;False;False;False;False;0.0;0.0;1;Zona Norte;0.0;1;False;False;True;False;False;True;30.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;0.0;689.0;Copacabana;46.0;3.0;False;False;False;False;0.0;0.0;1;Zona Sul;1.0;0;False;False;False;False;False;False;46.0;False;False;False;1.0;apartamentos;False;False;4;2023;Outono
False;0.0;False;0.0;385.0;Grajaú;51.0;1.1;False;False;False;False;0.0;0.0;1;Zona Norte;0.0;1;False;False;False;False;True;False;51.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;77.0;344.0;Centro;51.0;1.2;False;False;False;False;0.0;0.0;1;Zona Central;0.0;1;False;False;False;False;False;False;51.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
